ProductGroup,LineCode7,PackId,Packbarcode,Packtype,PackQty,LineCode7Qty,deptcode
C0203,B06404500003,3,1064045000035,S,1,1,C020302
C0203,B06407200001,1,1064072000015,S,1,1,C020301
C0402,B14185900001,1,1141859000014,S,2,2,C040204
C0601,B36214200003,3,1362142000034,S,1,1,C060103
C0301,C01607700001,1,2016077000018,S,1,1,C030103
C0301,C01699400004,4,2016994000047,S,1,1,C030103
L3702,F36167200001,1,3361672000017,S,1,1,L370204
L3702,F36243500004,4,3362435000046,s,1,1,L370206
L3702,F36258400007,7,3362584000072,S,1,1,L370207
L3702,F36258500002,2,3362585000026,S,1,1,L370207
L3702,F36258500003,3,3362585000033,S,1,1,L370207
