Container Reference,Despatch Date,Sub-Dept,Dummy Nest Product,Linecode,Pack ID,Description,Delivery location,Season,Pack Qty,Pack Type,Qty
TRANSFER04,10-Sep-17,C0102,,G320809,90007,BLACK VELOUR ZIP THRU,420,W17,13,BH,52
TRANSFER04,10-Sep-17,C0102,,G320811,90007,PINK VELOUR ZIP THRU,420,W17,13,BH,39
TRANSFER04,10-Sep-17,C0102,,G320825,90007,HOODED APPLIQUE CARDIGAN,420,W17,12,BH,48
TRANSFER04,10-Sep-17,C0102,,G320833,90007,BUTTERFLY KNIT,420,W17,11,BH,154
TRANSFER04,10-Sep-17,C0102,,G320835,90007,POPCORN KNIT,420,W17,11,BH,33
TRANSFER04,10-Sep-17,C0202,,B153097,90007,BRUSHBACK TEE,420,W17,10,BH,30
TRANSFER04,10-Sep-17,C0202,,B153099,90007,MESH 85 NYC PREMIUM,420,W17,10,BH,20
TRANSFER04,10-Sep-17,C0202,,B153111,90007,AOP PALM TREE SHIRT,420,W17,13,BH,104
TRANSFER04,10-Sep-17,C0202,,B153119,90007,OPP GINGHAM SHIRT,420,W17,10,BH,50
TRANSFER04,10-Sep-17,C0202,,B153152,90006,GOTHIC FONT TEE,420,W17,9,BH,63
TRANSFER04,10-Sep-17,C0202,,B153153,90007,GOTHIC FONT TEE,420,W17,12,BH,72
TRANSFER04,10-Sep-17,C0202,,B153155,90007,EPIC PREMIUM,420,W17,7,BH,161
TRANSFER04,10-Sep-17,C0202,,B153230,90006,CHICAGO BADGE PREMIUM,420,W17,9,BH,18
TRANSFER04,10-Sep-17,C0202,,B153255,90006,SS DINO MITE TEE,420,W17,9,BH,54
TRANSFER04,10-Sep-17,C0202,,B153256,90007,SS DINO MITE TEE,420,W17,12,BH,24
TRANSFER04,10-Sep-17,C0203,,B064432,90007,MESH PANEL JOG,420,W17,9,BH,63
TRANSFER04,10-Sep-17,C0203,,B064434,90007,SKINNY DC JOG,420,W17,8,BH,8
TRANSFER04,10-Sep-17,C0203,,B064441,90007,NEOPRENE SHORT,420,W17,12,BH,48
TRANSFER04,10-Sep-17,C0301,,C017826,90005,KT17B SPARKLE POINTELLE DRS,420,W17,15,BH,135
TRANSFER04,10-Sep-17,C0301,,C017945,90005,NS13B 2PK JOGGERS,420,W17,15,BH,150
TRANSFER04,10-Sep-17,C0301,,C017990,90005,PF10B 2 PACK LEGGING FLOW,420,Y17,17,BH,221
TRANSFER04,10-Sep-17,C0301,,C018006,90005,BF27B GEO JUMPSUIT,420,W17,17,BH,170
