PAGRNNO,PAGRNDATE,PAGRNLINENO,PONUMBER,ContainerNo,LineNo,LineCode7,PackID,PackBarcode,PackType,PAGRNQTY
0420-MPO-00140_t,19/10/2017,1,0420-MPO-00140,NYKU4201548,1,B110856,90005,1110856900054,BH,55
0420-MPO-00140_t,19/10/2017,2,0420-MPO-00140,NYKU4201548,2,B110857,90007,1110857900077,BH,55
0420-MPO-00140_t,19/10/2017,3,0420-MPO-00140,NYKU4201548,3,B153210,90006,1153210900062,BH,42
0420-MPO-00140_t,19/10/2017,4,0420-MPO-00140,NYKU4201548,4,B153211,90007,1153211900078,BH,42
0420-MPO-00140_t,19/10/2017,5,0420-MPO-00140,NYKU4201548,5,B153242,90006,1153242900061,BH,32
0420-MPO-00140_t,19/10/2017,6,0420-MPO-00140,NYKU4201548,6,B153243,90007,1153243900077,BH,32
0420-MPO-00140_t,19/10/2017,7,0420-MPO-00140,NYKU4201548,7,B153244,90006,1153244900069,BH,27
0420-MPO-00140_t,19/10/2017,8,0420-MPO-00140,NYKU4201548,8,B153245,90007,1153245900075,BH,27
0420-MPO-00140_t,19/10/2017,9,0420-MPO-00140,NYKU4201548,9,B153328,90006,1153328900060,BH,32
0420-MPO-00140_t,19/10/2017,10,0420-MPO-00140,NYKU4201548,10,B153329,90005,1153329900052,BH,32
0420-MPO-00140_t,19/10/2017,11,0420-MPO-00140,NYKU4201548,11,B300111,90006,1300111900060,BH,32
0420-MPO-00140_t,19/10/2017,12,0420-MPO-00140,NYKU4201548,12,B300112,90004,1300112900045,BH,32
0420-MPO-00140_t,19/10/2017,13,0420-MPO-00140,NYKU4201548,13,B362805,90005,1362805900053,BH,32
0420-MPO-00140_t,19/10/2017,14,0420-MPO-00140,NYKU4201548,14,B362806,90005,1362806900052,BH,32
0420-MPO-00140_t,19/10/2017,15,0420-MPO-00140,NYKU4201548,15,B363034,90005,1363034900050,BH,40
0420-MPO-00140_t,19/10/2017,16,0420-MPO-00140,NYKU4201548,16,B363035,90005,1363035900059,BH,40
0420-MPO-00140_t,19/10/2017,17,0420-MPO-00140,NYKU4201548,17,B363046,90005,1363046900055,BH,40
0420-MPO-00140_t,19/10/2017,18,0420-MPO-00140,NYKU4201548,18,B363047,90005,1363047900054,BH,40
0420-MPO-00140_t,19/10/2017,19,0420-MPO-00140,NYKU4201548,19,C018064,90005,2018064900059,BH,42
0420-MPO-00140_t,19/10/2017,20,0420-MPO-00140,NYKU4201548,20,C018065,90005,2018065900058,BH,42
0420-MPO-00140_t,19/10/2017,21,0420-MPO-00140,NYKU4201548,21,C018150,90005,2018150900055,BH,32
0420-MPO-00140_t,19/10/2017,22,0420-MPO-00140,NYKU4201548,22,C018151,90005,2018151900054,BH,32
0420-MPO-00140_t,19/10/2017,23,0420-MPO-00140,NYKU4201548,23,F410228,90007,3410228900070,H,27
0420-MPO-00140_t,19/10/2017,24,0420-MPO-00140,NYKU4201548,24,F410228,90008,3410228900087,H,27
0420-MPO-00140_t,19/10/2017,25,0420-MPO-00140,NYKU4201548,25,F410228,90009,3410228900094,H,27
0420-MPO-00140_t,19/10/2017,26,0420-MPO-00140,NYKU4201548,26,G320890,90006,4320890900065,BH,45
0420-MPO-00140_t,19/10/2017,27,0420-MPO-00140,NYKU4201548,27,G320891,90007,4320891900071,BH,45
0420-MPO-00140_t,19/10/2017,28,0420-MPO-00140,NYKU4201548,28,M240048,90006,6240048900069,BH,24
0420-MPO-00140_t,19/10/2017,29,0420-MPO-00140,NYKU4201548,29,M240049,90006,6240049900068,BH,24
0420-MPO-00140_t,19/10/2017,30,0420-MPO-00140,NYKU4201548,30,M250062,90007,6250062900075,B,26
0420-MPO-00140_t,19/10/2017,31,0420-MPO-00140,NYKU4201548,31,M250063,90007,6250063900074,B,26
0420-MPO-00140_t,19/10/2017,32,0420-MPO-00140,NYKU4201548,32,M430319,90006,6430319900069,BH,25
0420-MPO-00140_t,19/10/2017,33,0420-MPO-00140,NYKU4201548,33,M430321,90006,6430321900064,BH,25
0420-MPO-00140_t,19/10/2017,34,0420-MPO-00140,NYKU4201548,34,M430355,90007,6430355900078,BH,52
0420-MPO-00140_t,19/10/2017,35,0420-MPO-00140,NYKU4201548,35,M430398,90007,6430398900073,BH,25
0420-MPO-00140_t,19/10/2017,36,0420-MPO-00140,NYKU4201548,36,M430415,90006,6430415900062,H,18
0420-MPO-00140_t,19/10/2017,37,0420-MPO-00140,NYKU4201548,37,M430415,90007,6430415900079,H,18
0420-MPO-00140_t,19/10/2017,38,0420-MPO-00140,NYKU4201548,38,M430416,90006,6430416900061,H,18
0420-MPO-00140_t,19/10/2017,39,0420-MPO-00140,NYKU4201548,39,M430416,90007,6430416900078,H,18
0420-MPO-00140_t,19/10/2017,40,0420-MPO-00140,NYKU4201548,40,M430417,90006,6430417900060,H,18
0420-MPO-00140_t,19/10/2017,41,0420-MPO-00140,NYKU4201548,41,M430417,90007,6430417900077,H,18
0420-MPO-00140_t,19/10/2017,42,0420-MPO-00140,NYKU4201548,42,M430450,90020,6430450900201,B,26
0420-MPO-00140_t,19/10/2017,43,0420-MPO-00140,NYKU4201548,43,M430451,90020,6430451900200,B,26
0420-MPO-00140_t,19/10/2017,44,0420-MPO-00140,NYKU4201548,44,M430509,90007,6430509900077,BH,26
0420-MPO-00140_t,19/10/2017,45,0420-MPO-00140,NYKU4201548,45,M430533,90007,6430533900074,BH,26
0420-MPO-00140_t,19/10/2017,46,0420-MPO-00140,NYKU4201548,46,M580740,90018,6580740900180,H,2
0420-MPO-00140_t,19/10/2017,47,0420-MPO-00140,NYKU4201548,47,M580740,90019,6580740900197,H,2
0420-MPO-00140_t,19/10/2017,48,0420-MPO-00140,NYKU4201548,48,M580740,90020,6580740900203,H,2
0420-MPO-00140_t,19/10/2017,49,0420-MPO-00140,NYKU4201548,49,M580740,90021,6580740900210,H,2
0420-MPO-00140_t,19/10/2017,50,0420-MPO-00140,NYKU4201548,50,M580740,90022,6580740900227,H,2
0420-MPO-00140_t,19/10/2017,51,0420-MPO-00140,NYKU4201548,51,M580740,90023,6580740900234,H,2
0420-MPO-00140_t,19/10/2017,52,0420-MPO-00140,NYKU4201548,52,M580740,90024,6580740900241,H,2
0420-MPO-00140_t,19/10/2017,53,0420-MPO-00140,NYKU4201548,53,M580741,90018,6580741900189,H,2
0420-MPO-00140_t,19/10/2017,54,0420-MPO-00140,NYKU4201548,54,M580741,90019,6580741900196,H,2
0420-MPO-00140_t,19/10/2017,55,0420-MPO-00140,NYKU4201548,55,M580741,90020,6580741900202,H,2
0420-MPO-00140_t,19/10/2017,56,0420-MPO-00140,NYKU4201548,56,M580741,90021,6580741900219,H,2
0420-MPO-00140_t,19/10/2017,57,0420-MPO-00140,NYKU4201548,57,M580741,90022,6580741900226,H,2
0420-MPO-00140_t,19/10/2017,58,0420-MPO-00140,NYKU4201548,58,M580741,90023,6580741900233,H,2
0420-MPO-00140_t,19/10/2017,59,0420-MPO-00140,NYKU4201548,59,M580741,90024,6580741900240,H,2
