CEVAGRNNO,CEVAGRNDATE,CEVAGRNLINENO,PONUMBER,CONTAINERNO,POLINENO,LINECODE7,PACKID,PACKBARCODE,PACKTYPE,CEVAGRNQTY
MAT.0000521121,12/08/2017,1,0408-MPO/03315,MSKU954523,1,G142159,90001,4.14216E+12,BH,1
MAT.0000521121,12/08/2017,10,0408-MPO/03315,MSKU954523,10,G111125,90005,4.11113E+12,BH,8
MAT.0000521121,12/08/2017,100,0408-MPO/03315,MSKU954523,100,F363069,90001,3.36307E+12,BH,1
MAT.0000521121,12/08/2017,101,0408-MPO/03315,MSKU954523,101,F363069,90002,3.36307E+12,BH,3
MAT.0000521121,12/08/2017,102,0408-MPO/03315,MSKU954523,102,F363069,90007,3.36307E+12,BH,1
MAT.0000521121,12/08/2017,103,0408-MPO/03315,MSKU954523,103,F363070,90001,3.36307E+12,BH,1
MAT.0000521121,12/08/2017,104,0408-MPO/03315,MSKU954523,104,F364284,90005,3.36428E+12,BH,4
MAT.0000521121,12/08/2017,105,0408-MPO/03315,MSKU954523,105,F364260,90005,3.36426E+12,BH,12
MAT.0000521121,12/08/2017,106,0408-MPO/03315,MSKU954523,106,F364261,90005,3.36426E+12,BH,11
MAT.0000521121,12/08/2017,107,0408-MPO/03315,MSKU954523,107,M430336,90004,6.43034E+12,BH,1
MAT.0000521121,12/08/2017,108,0408-MPO/03315,MSKU954523,108,M430336,90006,6.43034E+12,BH,1
MAT.0000521121,12/08/2017,109,0408-MPO/03315,MSKU954523,109,M430336,90008,6.43034E+12,BH,1
MAT.0000521121,12/08/2017,11,0408-MPO/03315,MSKU954523,11,G111126,90007,4.11113E+12,BH,8
MAT.0000521121,12/08/2017,110,0408-MPO/03315,MSKU954523,110,M430336,90012,6.43034E+12,BH,1
MAT.0000521121,12/08/2017,111,0408-MPO/03315,MSKU954523,111,M759834,90010,6.75983E+12,BH,2
MAT.0000521121,12/08/2017,112,0408-MPO/03315,MSKU954523,112,M759834,90011,6.75983E+12,BH,2
MAT.0000521121,12/08/2017,113,0408-MPO/03315,MSKU954523,113,M580062,90008,6.58006E+12,BH,5
MAT.0000521121,12/08/2017,114,0408-MPO/03315,MSKU954523,114,M210166,90004,6.21017E+12,B,4
MAT.0000521121,12/08/2017,115,0408-MPO/03315,MSKU954523,115,C280001,90010,2.28E+12,BH,15
MAT.0000521121,12/08/2017,12,0408-MPO/03315,MSKU954523,12,C133621,90004,2.13362E+12,BH,32
MAT.0000521121,12/08/2017,13,0408-MPO/03315,MSKU954523,13,C133625,90003,2.13363E+12,BH,32
MAT.0000521121,12/08/2017,14,0408-MPO/03315,MSKU954523,14,C133627,90003,2.13363E+12,BH,32
MAT.0000521121,12/08/2017,15,0408-MPO/03315,MSKU954523,15,C133628,90003,2.13363E+12,BH,32
MAT.0000521121,12/08/2017,16,0408-MPO/03315,MSKU954523,16,C124037,90002,2.12404E+12,BH,1
MAT.0000521121,12/08/2017,17,0408-MPO/03315,MSKU954523,17,C124037,90003,2.12404E+12,BH,3
MAT.0000521121,12/08/2017,18,0408-MPO/03315,MSKU954523,18,C124037,90004,2.12404E+12,BH,3
MAT.0000521121,12/08/2017,19,0408-MPO/03315,MSKU954523,19,F972080,90007,3.97208E+12,BH,29
MAT.0000521121,12/08/2017,2,0408-MPO/03315,MSKU954523,2,G142159,90002,4.14216E+12,BH,1
