CEVAGRNNO,CEVAGRNDATE,CEVAGRNLINENO,PONUMBER,CONTAINERNO,POLINENO,LINECODE7,PACKID,PACKBARCODE,PACKTYPE,CEVAGRNQTY,
MAT.0000521121,12/08/2017,1,0408-MPO/03315,MSKU954523,1,G142159,90001,4142159900018,BH,1,1
MAT.0000521121,12/08/2017,10,0408-MPO/03315,MSKU954523,10,G111125,90005,4111125900055,BH,8,10
MAT.0000521121,12/08/2017,100,0408-MPO/03315,MSKU954523,100,F363069,90001,3363069900016,BH,1,100
MAT.0000521121,12/08/2017,101,0408-MPO/03315,MSKU954523,101,F363069,90002,3363069900023,BH,3,101
MAT.0000521121,12/08/2017,102,0408-MPO/03315,MSKU954523,102,F363069,90007,3363069900078,BH,1,102
MAT.0000521121,12/08/2017,103,0408-MPO/03315,MSKU954523,103,F363070,90001,3363070900012,BH,1,103
MAT.0000521121,12/08/2017,104,0408-MPO/03315,MSKU954523,104,F364284,90005,3364284900058,BH,4,104
MAT.0000521121,12/08/2017,105,0408-MPO/03315,MSKU954523,105,F364260,90005,3364260900058,BH,12,105
MAT.0000521121,12/08/2017,106,0408-MPO/03315,MSKU954523,106,F364261,90005,3364261900057,BH,11,106
MAT.0000521121,12/08/2017,107,0408-MPO/03315,MSKU954523,107,M430336,90004,6430336900042,BH,1,107
MAT.0000521121,12/08/2017,108,0408-MPO/03315,MSKU954523,108,M430336,90006,6430336900066,BH,1,108
MAT.0000521121,12/08/2017,109,0408-MPO/03315,MSKU954523,109,M430336,90008,6430336900080,BH,1,109
MAT.0000521121,12/08/2017,11,0408-MPO/03315,MSKU954523,11,G111126,90007,4111126900078,BH,8,11
MAT.0000521121,12/08/2017,110,0408-MPO/03315,MSKU954523,110,M430336,90012,6430336900127,BH,1,110
MAT.0000521121,12/08/2017,111,0408-MPO/03315,MSKU954523,111,M759834,90010,6759834900102,BH,2,111
MAT.0000521121,12/08/2017,112,0408-MPO/03315,MSKU954523,112,M759834,90011,6759834900119,BH,2,112
MAT.0000521121,12/08/2017,113,0408-MPO/03315,MSKU954523,113,M580062,90008,6580062900080,BH,5,113
MAT.0000521121,12/08/2017,114,0408-MPO/03315,MSKU954523,114,M210166,90004,6210166900043,B,4,114
MAT.0000521121,12/08/2017,115,0408-MPO/03315,MSKU954523,115,C280001,90010,2280001900105,BH,15,115
MAT.0000521121,12/08/2017,12,0408-MPO/03315,MSKU954523,12,C133621,90004,2133621900041,BH,32,12
MAT.0000521121,12/08/2017,13,0408-MPO/03315,MSKU954523,13,C133625,90003,2133625900030,BH,32,13
MAT.0000521121,12/08/2017,14,0408-MPO/03315,MSKU954523,14,C133627,90003,2133627900038,BH,32,14
MAT.0000521121,12/08/2017,15,0408-MPO/03315,MSKU954523,15,C133628,90003,2133628900037,BH,32,15
MAT.0000521121,12/08/2017,16,0408-MPO/03315,MSKU954523,16,C124037,90002,2124037900022,BH,1,16
MAT.0000521121,12/08/2017,17,0408-MPO/03315,MSKU954523,17,C124037,90003,2124037900039,BH,3,17
MAT.0000521121,12/08/2017,18,0408-MPO/03315,MSKU954523,18,C124037,90004,2124037900046,BH,3,18
MAT.0000521121,12/08/2017,19,0408-MPO/03315,MSKU954523,19,F972080,90007,3972080900075,BH,29,19
MAT.0000521121,12/08/2017,2,0408-MPO/03315,MSKU954523,2,G142159,90002,4142159900025,BH,1,2
MAT.0000521121,12/08/2017,20,0408-MPO/03315,MSKU954523,20,F972106,90007,3972106900072,BH,30,20
MAT.0000521121,12/08/2017,21,0408-MPO/03315,MSKU954523,21,M550048,90007,6550048900076,BH,2,21
MAT.0000521121,12/08/2017,22,0408-MPO/03315,MSKU954523,22,M550049,90007,6550049900075,BH,4,22
MAT.0000521121,12/08/2017,23,0408-MPO/03315,MSKU954523,23,C156804,90005,2156804900058,BH,30,23
MAT.0000521121,12/08/2017,24,0408-MPO/03315,MSKU954523,24,C157551,90005,2157551900056,BH,32,24
MAT.0000521121,12/08/2017,25,0408-MPO/03315,MSKU954523,25,C157582,90007,2157582900070,BH,6,25
MAT.0000521121,12/08/2017,26,0408-MPO/03315,MSKU954523,26,C157910,90007,2157910900079,BH,22,26
MAT.0000521121,12/08/2017,27,0408-MPO/03315,MSKU954523,27,C157911,90005,2157911900054,BH,8,27
MAT.0000521121,12/08/2017,28,0408-MPO/03315,MSKU954523,28,M312039,90001,6312039900010,B,19,28
MAT.0000521121,12/08/2017,29,0408-MPO/03315,MSKU954523,29,M312040,90001,6312040900016,B,35,29
MAT.0000521121,12/08/2017,3,0408-MPO/03315,MSKU954523,3,G142159,90003,4142159900032,BH,1,3
MAT.0000521121,12/08/2017,30,0408-MPO/03315,MSKU954523,30,M312061,90001,6312061900019,BH,1,30
MAT.0000521121,12/08/2017,31,0408-MPO/03315,MSKU954523,31,M312063,90001,6312063900017,BH,2,31
MAT.0000521121,12/08/2017,32,0408-MPO/03315,MSKU954523,32,M312084,90001,6312084900010,B,5,32
MAT.0000521121,12/08/2017,33,0408-MPO/03315,MSKU954523,33,M845102,90001,6845102900018,B,21,33
MAT.0000521121,12/08/2017,34,0408-MPO/03315,MSKU954523,34,M845976,90001,6845976900015,B,16,34
MAT.0000521121,12/08/2017,35,0408-MPO/03315,MSKU954523,35,M846865,90001,6846865900017,B,21,35
MAT.0000521121,12/08/2017,36,0408-MPO/03315,MSKU954523,36,M847250,90001,6847250900018,B,55,36
MAT.0000521121,12/08/2017,37,0408-MPO/03315,MSKU954523,37,M847252,90001,6847252900016,B,53,37
MAT.0000521121,12/08/2017,38,0408-MPO/03315,MSKU954523,38,M846789,90001,6846789900018,B,19,38
MAT.0000521121,12/08/2017,39,0408-MPO/03315,MSKU954523,39,M693772,90001,6693772900018,B,3,39
MAT.0000521121,12/08/2017,4,0408-MPO/03315,MSKU954523,4,G142160,90001,4142160900014,BH,2,4
MAT.0000521121,12/08/2017,40,0408-MPO/03315,MSKU954523,40,M692521,90002,6692521900026,B,11,40
MAT.0000521121,12/08/2017,41,0408-MPO/03315,MSKU954523,41,M693785,90001,6693785900012,B,22,41
MAT.0000521121,12/08/2017,42,0408-MPO/03315,MSKU954523,42,M693786,90001,6693786900011,B,16,42
MAT.0000521121,12/08/2017,43,0408-MPO/03315,MSKU954523,43,M693787,90001,6693787900010,B,12,43
MAT.0000521121,12/08/2017,44,0408-MPO/03315,MSKU954523,44,M693797,90001,6693797900017,B,17,44
MAT.0000521121,12/08/2017,45,0408-MPO/03315,MSKU954523,45,M693883,90001,6693883900013,B,22,45
MAT.0000521121,12/08/2017,46,0408-MPO/03315,MSKU954523,46,M693884,90001,6693884900012,B,22,46
MAT.0000521121,12/08/2017,47,0408-MPO/03315,MSKU954523,47,M693916,90001,6693916900010,B,22,47
MAT.0000521121,12/08/2017,48,0408-MPO/03315,MSKU954523,48,M693805,90001,6693805900015,B,22,48
MAT.0000521121,12/08/2017,49,0408-MPO/03315,MSKU954523,49,M490061,90001,6490061900014,B,45,49
MAT.0000521121,12/08/2017,5,0408-MPO/03315,MSKU954523,5,G142160,90002,4142160900021,BH,2,5
MAT.0000521121,12/08/2017,50,0408-MPO/03315,MSKU954523,50,M879215,90001,6879215900016,B,3,50
MAT.0000521121,12/08/2017,51,0408-MPO/03315,MSKU954523,51,M490080,90001,6490080900019,B,22,51
MAT.0000521121,12/08/2017,52,0408-MPO/03315,MSKU954523,52,M812918,90001,6812918900013,B,22,52
MAT.0000521121,12/08/2017,53,0408-MPO/03315,MSKU954523,53,M812961,90001,6812961900015,B,15,53
MAT.0000521121,12/08/2017,54,0408-MPO/03315,MSKU954523,54,M812967,90001,6812967900019,B,22,54
MAT.0000521121,12/08/2017,55,0408-MPO/03315,MSKU954523,55,M683979,90001,6683979900010,B,22,55
MAT.0000521121,12/08/2017,56,0408-MPO/03315,MSKU954523,56,F273143,90005,3273143900057,BH,29,56
MAT.0000521121,12/08/2017,57,0408-MPO/03315,MSKU954523,57,F390057,90009,3390057900093,BH,5,57
MAT.0000521121,12/08/2017,58,0408-MPO/03315,MSKU954523,58,F390060,90009,3390060900097,BH,30,58
MAT.0000521121,12/08/2017,59,0408-MPO/03315,MSKU954523,59,F390024,90008,3390024900088,BH,1,59
MAT.0000521121,12/08/2017,6,0408-MPO/03315,MSKU954523,6,G142160,90003,4142160900038,BH,2,6
MAT.0000521121,12/08/2017,60,0408-MPO/03315,MSKU954523,60,F390047,90008,3390047900089,BH,1,60
MAT.0000521121,12/08/2017,61,0408-MPO/03315,MSKU954523,61,F390048,90008,3390048900088,BH,1,61
MAT.0000521121,12/08/2017,62,0408-MPO/03315,MSKU954523,62,F362465,90008,3362465900088,BH,2,62
MAT.0000521121,12/08/2017,63,0408-MPO/03315,MSKU954523,63,F362465,90009,3362465900095,BH,1,63
MAT.0000521121,12/08/2017,64,0408-MPO/03315,MSKU954523,64,F362465,90012,3362465900125,BH,1,64
MAT.0000521121,12/08/2017,65,0408-MPO/03315,MSKU954523,65,F362465,90013,3362465900132,BH,2,65
MAT.0000521121,12/08/2017,66,0408-MPO/03315,MSKU954523,66,F362531,90008,3362531900080,BH,1,66
MAT.0000521121,12/08/2017,67,0408-MPO/03315,MSKU954523,67,F362531,90009,3362531900097,BH,1,67
MAT.0000521121,12/08/2017,68,0408-MPO/03315,MSKU954523,68,F362531,90010,3362531900103,BH,1,68
MAT.0000521121,12/08/2017,69,0408-MPO/03315,MSKU954523,69,F362531,90011,3362531900110,BH,1,69
MAT.0000521121,12/08/2017,7,0408-MPO/03315,MSKU954523,7,G142160,90004,4142160900045,BH,2,7
MAT.0000521121,12/08/2017,70,0408-MPO/03315,MSKU954523,70,F362531,90012,3362531900127,BH,1,70
MAT.0000521121,12/08/2017,71,0408-MPO/03315,MSKU954523,71,F362531,90013,3362531900134,BH,1,71
MAT.0000521121,12/08/2017,72,0408-MPO/03315,MSKU954523,72,F362531,90014,3362531900141,BH,1,72
MAT.0000521121,12/08/2017,73,0408-MPO/03315,MSKU954523,73,F362710,90033,3362710900337,BH,2,73
MAT.0000521121,12/08/2017,74,0408-MPO/03315,MSKU954523,74,F362710,90034,3362710900344,BH,2,74
