PAGRNNO,PAGRNDATE,PAGRNLINENO,PONUMBER,CONTAINERNO,POLINENO,LINECODE7,PACKID,PACKBARCODE,PACKTYPE,PAGRNQTY
MAT.0000000001,30/08/2017,1,0420-MPO-9393,AMFU8882995,1,B021254,1,1021254000010,S,50
MAT.0000000001,30/08/2017,2,0420-MPO-9393,AMFU8882995,2,B021254,2,1021254000027,S,150
MAT.0000000001,30/08/2017,3,0420-MPO-9393,AMFU8882995,3,B021254,3,1021254000034,S,100
MAT.0000000001,30/08/2017,4,0420-MPO-9393,AMFU8882995,4,B021254,6,1021254000065,S,100
MAT.0000000001,30/08/2017,5,0420-MPO-9393,AMFU8882995,5,B362942,90005,1362942900053,BH,32
MAT.0000000001,30/08/2017,6,0420-MPO-9393,AMFU8882995,6,C017878,90006,2017878900064,BH,0
MAT.0000000001,30/08/2017,7,0420-MPO-9393,AMFU8882995,7,C124067,90006,2124067900061,BH,35
MAT.0000000001,30/08/2017,8,0420-MPO-9393,AMFU8882995,8,C124068,90004,2124068900046,BH,0
MAT.0000000001,30/08/2017,9,0420-MPO-9393,AMFU8882995,9,C157845,90004,2157845900045,BH,10
MAT.0000000001,30/08/2017,10,0420-MPO-9393,AMFU8882995,10,C157856,90004,2157856900041,BH,24
MAT.0000000001,30/08/2017,11,0420-MPO-9393,AMFU8882995,11,C157857,90004,2157857900040,BH,27
MAT.0000000001,30/08/2017,12,0420-MPO-9393,AMFU8882995,12,C180357,90006,2180357900067,BH,11
MAT.0000000001,30/08/2017,13,0420-MPO-9393,AMFU8882995,13,C180377,90001,2180377900016,BH,10
MAT.0000000001,30/08/2017,14,0420-MPO-9393,AMFU8882995,14,C180386,90007,2180386900076,B,31
MAT.0000000001,30/08/2017,15,0420-MPO-9393,AMFU8882995,15,C180444,90001,2180444900017,B,34
MAT.0000000001,30/08/2017,16,0420-MPO-9393,AMFU8882995,16,C290099,90007,2290099900079,BH,12
MAT.0000000001,30/08/2017,17,0420-MPO-9393,AMFU8882995,17,F273013,90005,3273013900057,BH,2
MAT.0000000001,30/08/2017,18,0420-MPO-9393,AMFU8882995,18,F273018,90005,3273018900052,B,3
MAT.0000000001,30/08/2017,19,0420-MPO-9393,AMFU8882995,19,F273020,90005,3273020900057,B,15
MAT.0000000001,30/08/2017,20,0420-MPO-9393,AMFU8882995,20,F273086,90005,3273086900053,BH,23
MAT.0000000001,30/08/2017,21,0420-MPO-9393,AMFU8882995,21,F273134,90007,3273134900073,BH,14
MAT.0000000001,30/08/2017,22,0420-MPO-9393,AMFU8882995,22,F273144,90005,3273144900056,BH,29
MAT.0000000001,30/08/2017,23,0420-MPO-9393,AMFU8882995,23,F362710,10,3362710000105,S,40
MAT.0000000001,30/08/2017,24,0420-MPO-9393,AMFU8882995,24,F363024,4,3363024000041,s,38
MAT.0000000001,30/08/2017,25,0420-MPO-9393,AMFU8882995,25,F363024,18,3363024000188,s,38
