Linecode(7),Pack Id,Pack Type,Pack Barcode,Pack Outer,Linecode(12),Ratio,All Sizes in Pack?,Pack Level,Linked Pack ID
B021217,90005,B,1021217900050,18,B02121700001,1,Y,PACK,x
B021217,90005,B,1021217900050,18,B02121700002,8,Y,PACK,x
B021217,90005,B,1021217900050,18,B02121700003,7,Y,PACK,x
B021217,90005,B,1021217900050,18,B02121700004,2,Y,PACK,x
B021219,90005,B,1021219900058,18,B02121900001,9,Y,PACK,x
B021219,90005,B,1021219900058,18,B02121900002,6,Y,PACK,x
B021219,90005,B,1021219900058,18,B02121900003,2,Y,PACK,x
B021219,90005,B,1021219900058,18,B02121900004,1,Y,PACK,x
B021220,90005,B,1021220900054,18,B02122000001,7,Y,PACK,x
B021220,90005,B,1021220900054,18,B02122000002,7,Y,PACK,x
B021220,90005,B,1021220900054,18,B02122000003,2,Y,PACK,x
B021220,90005,B,1021220900054,18,B02122000004,2,Y,PACK,x
B021221,90005,B,1021221900053,17,B02122100001,6,Y,PACK,x
B021221,90005,B,1021221900053,17,B02122100002,6,Y,PACK,x
B021221,90005,B,1021221900053,17,B02122100003,3,Y,PACK,x
B021221,90005,B,1021221900053,17,B02122100004,2,Y,PACK,x
B021225,90013,B,1021225900134,20,B02122500001,2,Y,PACK,x
B021225,90013,B,1021225900134,20,B02122500002,2,Y,PACK,x
B021225,90013,B,1021225900134,20,B02122500003,3,Y,PACK,x
B021225,90013,B,1021225900134,20,B02122500004,4,Y,PACK,x
B021225,90013,B,1021225900134,20,B02122500005,5,Y,PACK,x
B021225,90013,B,1021225900134,20,B02122500006,4,Y,PACK,x
B021229,90007,B,1021229900079,18,B02122900001,7, Y,PACK,x
B021229,90007,B,1021229900079,18,B02122900002,3, Y,PACK,x
B021229,90007,B,1021229900079,18,B02122900003,2, Y,PACK,x
B021229,90007,B,1021229900079,18,B02122900004,2, Y,PACK,x
B021229,90007,B,1021229900079,18,B02122900005,2, Y,PACK,x
B021229,90007,B,1021229900079,18,B02122900006,2, Y,PACK,x
B021253,90007,B,1021253900076,21,B02125300001,2,Y,PACK,x
B021253,90007,B,1021253900076,21,B02125300002,4,Y,PACK,x
B021253,90007,B,1021253900076,21,B02125300003,4,Y,PACK,x
B021253,90007,B,1021253900076,21,B02125300004,4,Y,PACK,x
B021253,90007,B,1021253900076,21,B02125300005,4,Y,PACK,x
B021253,90007,B,1021253900076,21,B02125300006,3,Y,PACK,x
B021254,90007,B,1021254900075,19,B02125400001,1,Y,PACK,x
B021254,90007,B,1021254900075,19,B02125400002,3,Y,PACK,x
B021254,90007,B,1021254900075,19,B02125400003,3,Y,PACK,x
B021254,90007,B,1021254900075,19,B02125400004,4,Y,PACK,x
B021254,90007,B,1021254900075,19,B02125400005,4,Y,PACK,x
B021254,90007,B,1021254900075,19,B02125400006,4,Y,PACK,x
B032622,90009,B,1032622900092,21,B03262200001,2,Y,PACK,x
B032622,90009,B,1032622900092,21,B03262200002,5,Y,PACK,x
B032622,90009,B,1032622900092,21,B03262200003,7,Y,PACK,x
B032622,90009,B,1032622900092,21,B03262200004,7,Y,PACK,x
B032623,90009,B,1032623900091,21,B03262300001,2,Y,PACK,x
B032623,90009,B,1032623900091,21,B03262300002,4,Y,PACK,x
B032623,90009,B,1032623900091,21,B03262300003,7,Y,PACK,x
B032623,90009,B,1032623900091,21,B03262300004,8,Y,PACK,x
B032624,90007,B,1032624900076,19,B03262400001,4,Y,PACK,x
B032624,90007,B,1032624900076,19,B03262400002,7,Y,PACK,x
B032624,90007,B,1032624900076,19,B03262400003,8,Y,PACK,x
B032625,90009,B,1032625900099,21,B03262500001,4,Y,PACK,x
B032625,90009,B,1032625900099,21,B03262500002,6,Y,PACK,x
B032625,90009,B,1032625900099,21,B03262500003,6,Y,PACK,x
B032625,90009,B,1032625900099,21,B03262500004,5,Y,PACK,x
B032626,90009,B,1032626900098,20,B03262600001,2,Y,PACK,x
B032626,90009,B,1032626900098,20,B03262600002,4,Y,PACK,x
B032626,90009,B,1032626900098,20,B03262600003,7,Y,PACK,x
B032626,90009,B,1032626900098,20,B03262600004,7,Y,PACK,x
B032642,90009,B,1032642900096,20,B03264200001,1,Y,PACK,x
B032642,90009,B,1032642900096,20,B03264200002,4,Y,PACK,x
B032642,90009,B,1032642900096,20,B03264200003,9,Y,PACK,x
B032642,90009,B,1032642900096,20,B03264200004,6,Y,PACK,x
B032643,90009,B,1032643900095,20,B03264300001,2,Y,PACK,x
B032643,90009,B,1032643900095,20,B03264300002,4,Y,PACK,x
B032643,90009,B,1032643900095,20,B03264300003,7,Y,PACK,x
B032643,90009,B,1032643900095,20,B03264300004,7,Y,PACK,x
B032779,90007,B,1032779900075,21,B03277900001,7, Y,PACK,x
