StoreNo,ProductGroup,Allowed,PackQty
418,C0101,0,0
418,C0102,1,1
418,C0103,1,1
418,C0104,1,1
418,C0105,1,1
418,C0107,1,1
418,C0108,0,0
418,C0109,0,0
418,C0201,0,0
418,C0202,1,1
418,C0203,1,1
418,C0204,1,1
418,C0206,1,1
418,C0208,0,0
418,C0301,1,1
418,C0401,1,1
418,C0402,1,1
418,C0501,0,0
418,C0502,0,0
418,C0503,0,0
418,C0504,0,0
418,C0505,0,0
418,C0506,0,0
418,C0507,0,0
418,C0508,0,0
418,C0601,1,1
418,C0701,1,1
418,C0702,1,1
418,C0703,1,1
418,C0704,1,1
418,C0705,1,1
418,C0706,1,1
418,C0801,1,1
418,C0802,1,1
418,C0901,1,1
418,C0902,1,1
418,C0903,1,1
418,C0904,1,1
418,C1001,1,1
418,C1002,1,1
418,C1003,1,1
418,C1101,1,1
418,C1201,0,0
418,C1202,1,1
418,C1203,1,1
418,C1204,0,0
418,C1205,1,1
418,C1206,1,1
418,C1301,1,1
418,C1302,1,1
418,C1501,1,1
418,C1502,1,1
418,C1601,1,1
418,C1701,0,0
418,C1702,0,0
418,C1801,0,0
418,H0103,0,0
418,H0104,0,0
418,H0106,0,0
418,H0108,0,0
418,H0109,0,0
418,H0110,0,0
418,H0203,0,0
418,H0204,0,0
418,H0205,0,0
418,H0301,0,0
418,H0302,1,1
418,H0304,0,0
418,H0306,0,0
418,H0307,0,0
418,H0308,0,0
418,H0310,0,0
418,H0309,0,0
418,H0311,0,0
418,H0401,0,0
418,H0402,0,0
418,H0404,0,0
418,H0405,0,0
418,H0406,0,0
418,H0408,0,0
418,H0409,0,0
418,H0410,0,0
418,H0411,0,0
418,H0501,0,0
418,H0502,0,0
418,H0503,0,0
418,H0504,0,0
418,H0601,1,1
418,H0602,1,1
418,H0604,1,1
418,H0605,1,1
418,H0606,0,0
418,H0701,0,0
418,H0702,0,0
418,H0703,0,0
418,H0704,0,0
418,H0705,0,0
418,H0706,0,0
418,H0901,0,0
418,H0902,0,0
418,H0903,0,0
418,H0904,0,0
418,H0905,0,0
418,H0906,0,0
418,H0907,0,0
418,H1101,0,0
418,H1102,0,0
418,H1104,0,0
418,H1801,0,0
418,H1001,0,0
418,H1002,0,0
418,H0801,0,0
418,L0101,0,0
418,L0102,0,0
418,L0103,0,0
418,L0104,0,0
418,L0105,0,0
418,L0106,0,0
418,L0201,0,0
418,L0202,0,0
418,L0203,0,0
418,L0204,0,0
418,L0301,1,1
418,L0302,1,1
418,L0401,1,1
418,L0402,0,0
418,L0404,0,0
418,L0501,1,1
418,L0502,0,0
418,L0601,0,0
418,L0602,0,0
418,L0603,0,0
418,L0701,0,0
418,L0901,0,0
418,L0902,0,0
418,L1101,1,1
418,L1102,1,1
418,L1103,1,1
418,L1104,0,0
418,L1201,1,1
418,L1202,1,1
418,L1203,1,1
418,L1204,1,1
418,L1205,0,0
418,L1301,0,0
418,L1302,0,0
418,L1303,0,0
418,L1304,0,0
418,L1305,0,0
418,L1601,0,0
418,L1602,0,0
418,L1603,0,0
418,L2101,0,0
418,L2102,1,1
418,L2103,1,1
418,L2104,1,1
418,L2108,1,1
418,L2201,1,1
418,L2401,1,1
418,L2501,1,1
418,L2601,1,1
418,L2602,1,1
418,L2603,1,1
418,L2604,1,1
418,L2701,1,1
418,L3001,0,0
418,L3002,0,0
418,L3003,0,0
418,L3004,0,0
418,L3005,0,0
418,L3501,0,0
418,L3601,0,0
418,L3701,0,0
418,L3702,1,1
418,L3801,1,1
418,L3802,1,1
418,L3803,1,1
418,L3804,1,1
418,L3805,0,0
418,L3901,1,1
418,L3902,1,1
418,L3101,1,1
418,M0101,0,0
418,M0102,0,0
418,M0103,0,0
418,M0104,0,0
418,M0105,0,0
418,M0201,0,0
418,M0202,0,0
418,M0301,0,0
418,M0501,0,0
418,M0502,0,0
418,M0503,0,0
418,M0504,0,0
418,M0701,0,0
418,M0801,0,0
418,M0901,0,0
418,M0902,0,0
418,M0903,0,0
418,M0904,0,0
418,M0905,0,0
418,M1001,0,0
418,M1002,0,0
418,M1201,0,0
418,M1202,0,0
418,M1203,0,0
418,M1204,0,0
418,M1205,0,0
418,M1301,0,0
418,M1501,0,0
418,M1601,0,0
418,M1701,0,0
418,M1801,0,0
418,M1901,0,0
418,M2001,0,0
418,M2002,0,0
418,M2003,0,0
418,M2004,0,0
418,M2005,0,0
418,M2006,0,0
418,M2007,0,0
418,M2701,0,0
418,M2702,0,0
418,M2703,0,0
418,M2901,0,0
418,M2902,0,0
418,M2903,0,0
418,M3201,0,0
418,M3202,0,0
418,M3203,0,0
418,M3204,0,0
418,M3205,0,0
418,M3301,0,0
418,M3302,0,0
418,M3401,0,0
418,M3001,0,0
418,F0101,1,1
418,F0102,1,1
418,F0103,1,1
418,F0104,0,0
418,F0105,1,1
418,F0106,1,1
418,F0107,1,1
418,F0109,1,1
418,F0201,1,1
418,F0202,1,1
418,F0203,0,0
418,F0301,0,0
