PAISSUENO,PAISSUEDATE,PAISSUELINENO,SONUMBER,SOLINENO,LINECODE7,PACKID,PACKBARCODE,PACKTYPE,PAISSUEQTY
MAT.0003478790,27/08/2017,1,4545,1,B064402,90003,1.06E+12,BH,1
MAT.0003478790,27/08/2017,2,4545,2,B064403,90005,1.06E+12,BH,1
MAT.0003478790,27/08/2017,3,4545,3,B064404,90005,1.06E+12,BH,1
MAT.0003478790,27/08/2017,4,4545,4,B064418,90004,1.06E+12,BH,1
MAT.0003478790,27/08/2017,5,4545,5,B064419,90005,1.06E+12,BH,1
MAT.0003478790,27/08/2017,6,4545,6,B064420,90005,1.06E+12,BH,1
MAT.0003478790,27/08/2017,7,4545,7,B064431,90006,1.06E+12,BH,1
MAT.0003478790,27/08/2017,8,4545,8,B064432,90007,1.06E+12,BH,1
MAT.0003478790,27/08/2017,9,4545,9,B064433,90006,1.06E+12,BH,1
MAT.0003478790,27/08/2017,10,4545,10,B064434,90007,1.06E+12,BH,1
MAT.0003478790,27/08/2017,11,4545,11,B064439,90007,1.06E+12,BH,1
MAT.0003478790,27/08/2017,12,4545,12,B064441,90007,1.06E+12,BH,1
MAT.0003478790,27/08/2017,13,4545,13,B064478,90006,1.06E+12,BH,1
MAT.0003478790,27/08/2017,14,4545,14,B064479,90007,1.06E+12,BH,1
MAT.0003478790,27/08/2017,15,4545,15,B110809,90009,1.11E+12,BH,1
MAT.0003478790,27/08/2017,16,4545,16,B110810,90004,1.11E+12,BH,1
MAT.0003478790,27/08/2017,17,4545,17,B141894,90003,1.14E+12,BH,1
MAT.0003478790,27/08/2017,18,4545,18,B153096,90006,1.15E+12,BH,1
MAT.0003478790,27/08/2017,19,4545,19,B153097,90007,1.15E+12,BH,1
MAT.0003478790,27/08/2017,20,4545,20,B153100,90006,1.15E+12,BH,1
MAT.0003478790,27/08/2017,21,4545,21,B153101,90007,1.15E+12,BH,1
MAT.0003478790,27/08/2017,22,4545,22,B153110,90006,1.15E+12,BH,1
MAT.0003478790,27/08/2017,23,4545,23,B153111,90007,1.15E+12,BH,1
MAT.0003478790,27/08/2017,24,4545,24,B153116,90006,1.15E+12,BH,1
MAT.0003478790,27/08/2017,25,4545,25,B153117,90007,1.15E+12,BH,1
MAT.0003478790,27/08/2017,26,4545,26,B153146,90006,1.15E+12,BH,1
MAT.0003478790,27/08/2017,27,4545,27,B153147,90007,1.15E+12,BH,1
MAT.0003478790,27/08/2017,28,4545,28,B153164,90006,1.15E+12,BH,1
MAT.0003478790,27/08/2017,29,4545,29,B153165,90007,1.15E+12,BH,1
MAT.0003478790,27/08/2017,30,4545,30,B153172,90006,1.15E+12,BH,1
MAT.0003478790,27/08/2017,31,4545,31,B153173,90007,1.15E+12,BH,1
MAT.0003478790,27/08/2017,32,4545,32,B153174,90006,1.15E+12,BH,1
MAT.0003478790,27/08/2017,33,4545,33,B153175,90007,1.15E+12,BH,1
MAT.0003478790,27/08/2017,34,4545,34,B153180,90007,1.15E+12,BH,1
MAT.0003478790,27/08/2017,35,4545,35,B153181,90007,1.15E+12,BH,1
MAT.0003478790,27/08/2017,36,4545,36,B153191,90007,1.15E+12,BH,1
MAT.0003478790,27/08/2017,37,4545,37,B153224,90006,1.15E+12,BH,1
MAT.0003478790,27/08/2017,38,4545,38,B153225,90007,1.15E+12,BH,1
MAT.0003478790,27/08/2017,39,4545,39,B290007,90005,1.29E+12,B,1
