Id,DocNo,ItemNo,Barcode,SystemQty,TransferQty,Variance,VarianceAdjustment,Remarks,ReceivedQty,TransferVariance,SenderLocation,ReceiverLocation,Country
14324,tt1,B06407700001,1.06E+12,0,2,2,1,,,,400,404,JOR
14325,tt1,B06407700002,1.06E+12,1,3,2,2,,,,400,404,JOR
14326,tt1,B06407700003,1.06E+12,0,1,1,5,ttt,,,400,404,JOR
14327,tt1,B06407900003,1.06E+12,1,4,3,4,ttt,,,400,404,JOR
14328,tt1,B06422500001,1.06E+12,0,1,1,0,,,,400,404,JOR
14329,tt1,B06431700001,1.06E+12,1,1,,0,,,,400,404,JOR
14330,tt1,B06431700003,1.06E+12,0,4,4,0,,,,400,404,JOR
14331,tt1,B06431800001,1.06E+12,0,1,1,0,,,,400,404,JOR
14332,tt1,B06431800002,1.06E+12,0,2,2,0,,,,400,404,JOR
14333,tt1,B06431800003,1.06E+12,1,5,4,0,,,,400,404,JOR
14334,tt1,B06431800004,1.06E+12,2,1,,0,,,,400,404,JOR
14335,tt1,B06431900002,1.06E+12,0,1,1,0,,,,400,404,JOR
14336,tt1,B06431900003,1.06E+12,0,1,1,0,,,,400,404,JOR
14337,tt1,B06431900004,1.06E+12,0,2,2,0,,,,400,404,JOR
14338,tt1,B06438200002,1.06E+12,0,2,2,0,,,,400,404,JOR
14339,tt1,B06438200005,1.06E+12,0,3,3,0,,,,400,404,JOR
14340,tt1,B06440200001,1.06E+12,2,1,,0,,,,400,404,JOR
14341,tt1,B06440200002,1.06E+12,2,1,,0,,,,400,404,JOR
14342,tt1,B06440300001,1.06E+12,2,5,3,0,,,,400,404,JOR
14343,tt1,B06440300002,1.06E+12,1,5,4,0,,,,400,404,JOR
14344,tt1,B06440300003,1.06E+12,2,3,1,0,,,,400,404,JOR
14345,tt1,B06440300004,1.06E+12,2,4,2,0,,,,400,404,JOR
14346,tt1,B06440400003,1.06E+12,0,2,2,0,,,,400,404,JOR
14347,tt1,B06440600003,1.06E+12,0,1,1,0,,,,400,404,JOR
14348,tt1,B06440800001,1.06E+12,0,1,1,0,,,,400,404,JOR
14349,tt1,B06440800002,1.06E+12,2,2,,0,,,,400,404,JOR
14350,tt1,B06440800003,1.06E+12,2,1,,0,,,,400,404,JOR
14351,tt1,B06440800004,1.06E+12,1,1,,0,,,,400,404,JOR
14352,tt1,B06440900001,1.06E+12,0,1,1,0,,,,400,404,JOR
14353,tt1,B06441000001,1.06E+12,0,1,1,0,,,,400,404,JOR
14354,tt1,B06441100001,1.06E+12,5,4,,0,,,,400,404,JOR
14355,tt1,B06441100002,1.06E+12,4,3,,0,,,,400,404,JOR
14356,tt1,B06441100003,1.06E+12,4,5,1,0,,,,400,404,JOR
14357,tt1,B06441100004,1.06E+12,2,3,1,0,,,,400,404,JOR
14358,tt1,B06441200001,1.06E+12,0,1,1,0,,,,400,404,JOR
14359,tt1,B06441200002,1.06E+12,1,1,,0,,,,400,404,JOR
14360,tt1,B06442100001,1.06E+12,2,1,,0,,,,400,404,JOR
14361,tt1,B06442200001,1.06E+12,4,1,,0,,,,400,404,JOR
14362,tt1,B06442200002,1.06E+12,2,1,,0,,,,400,404,JOR
14363,tt1,B06442200003,1.06E+12,5,3,,0,,,,400,404,JOR
14364,tt1,B06442200004,1.06E+12,2,1,,0,,,,400,404,JOR
14365,tt1,B06442300001,1.06E+12,3,1,,0,,,,400,404,JOR
14366,tt1,B06442300002,1.06E+12,1,1,,0,,,,400,404,JOR
14367,tt1,B06442300003,1.06E+12,3,2,,0,,,,400,404,JOR
14368,tt1,B06442800001,1.06E+12,0,2,2,0,,,,400,404,JOR
14369,tt1,B06442800002,1.06E+12,2,1,,0,,,,400,404,JOR
14370,tt1,B06442800003,1.06E+12,0,2,2,0,,,,400,404,JOR
14371,tt1,B06442900001,1.06E+12,3,4,1,0,,,,400,404,JOR
14372,tt1,B06442900002,1.06E+12,4,3,,0,,,,400,404,JOR
14373,tt1,B06442900003,1.06E+12,7,3,,0,,,,400,404,JOR
14374,tt1,B06442900004,1.06E+12,4,3,,0,,,,400,404,JOR
14375,tt1,B06443000001,1.06E+12,1,1,,0,,,,400,404,JOR
14376,tt1,B06443000002,1.06E+12,4,1,,0,,,,400,404,JOR
14377,tt1,B06443000003,1.06E+12,2,1,,0,,,,400,404,JOR
14378,tt1,B06443000004,1.06E+12,3,1,,0,,,,400,404,JOR
14379,tt1,B06443500001,1.06E+12,1,1,,0,,,,400,404,JOR
14380,tt1,B06443500002,1.06E+12,1,1,,0,,,,400,404,JOR
14381,tt1,B06443500003,1.06E+12,1,2,1,0,,,,400,404,JOR
14382,tt1,B06443500004,1.06E+12,3,3,,0,,,,400,404,JOR
14383,tt1,B06443500005,1.06E+12,2,2,,0,,,,400,404,JOR
14384,tt1,B06443800001,1.06E+12,0,2,2,0,,,,400,404,JOR
14385,tt1,B06443800002,1.06E+12,0,4,4,0,,,,400,404,JOR
14386,tt1,B06443800003,1.06E+12,2,1,,0,,,,400,404,JOR
