ItemNo,LocationCode,ClsQuantity,SoldQuantity,UnitCost,UnitPrice,SeasonCode,DivisionCode,ItemCategoryCode,ItemProductGroup,ItemFamilyCode,GroupeFamille,LineCode7,OfferPrice,ProductGroupDesc
103848,4728,5.00000000000000000000,103.00000000000000000000,0.76169000000000000000,1.75000000000000000000,62,5,54,5401,5418,5406,,0.00000000000000000000,TABLEWARE
103849,4728,0.00000000000000000000,109.00000000000000000000,0.73000000000000000000,1.75000000000000000000,62,5,54,5401,5418,5406,,0.00000000000000000000,TABLEWARE
103877,4728,108.00000000000000000000,11.00000000000000000000,1.28926000000000000000,3.50000000000000000000,62,5,54,5401,5417,5406,,0.00000000000000000000,TABLEWARE
107553,4728,12.00000000000000000000,132.00000000000000000000,0.76652000000000000000,2.25000000000000000000,62,5,54,5401,5418,5406,,0.00000000000000000000,TABLEWARE
109947,4728,63.00000000000000000000,33.00000000000000000000,0.84968000000000000000,1.75000000000000000000,62,5,54,5404,5497,5426,,0.00000000000000000000,KITCHEN
118302,4728,28.00000000000000000000,14.00000000000000000000,1.15939000000000000000,3.00000000000000000000,62,5,54,5401,5414,5406,,0.00000000000000000000,TABLEWARE
118403,4728,99.00000000000000000000,20.00000000000000000000,0.77401000000000000000,2.25000000000000000000,62,5,54,5401,5417,5406,,0.00000000000000000000,TABLEWARE
120471,4728,0.00000000000000000000,95.00000000000000000000,1.59500000000000000000,4.50000000000000000000,62,5,54,5407,5560,5448,,0.00000000000000000000,CASH DESK AREA
142168,4728,2.00000000000000000000,142.00000000000000000000,0.64472000000000000000,1.75000000000000000000,62,5,54,5406,5535,5440,,0.00000000000000000000,CLEANING-LAUNDRY
148559,4728,19.00000000000000000000,125.00000000000000000000,0.36053000000000000000,0.75000000000000000000,62,5,54,5404,5496,5426,,0.00000000000000000000,KITCHEN
150553,4728,2.00000000000000000000,94.00000000000000000000,3.09500000000000000000,4.50000000000000000000,79,5,55,5506,5706,5552,,0.00000000000000000000,CHRISTMAS TOYS
151012,4728,0.00000000000000000000,72.00000000000000000000,5.89000000000000000000,11.00000000000000000000,79,5,55,5506,5714,5554,,0.00000000000000000000,CHRISTMAS TOYS
164203,4728,0.00000000000000000000,45.00000000000000000000,2.94000000000000000000,6.75000000000000000000,62,5,54,5405,5526,5438,,0.00000000000000000000,DECORATION
168841,4728,0.00000000000000000000,48.00000000000000000000,5.85000000000000000000,11.00000000000000000000,62,5,54,5404,5467,5418,,0.00000000000000000000,KITCHEN
170342,4728,8.00000000000000000000,71.00000000000000000000,4.82400000000000000000,9.00000000000000000000,62,5,54,5404,5487,5424,,0.00000000000000000000,KITCHEN
179775,4728,0.00000000000000000000,105.00000000000000000000,0.67500000000000000000,1.75000000000000000000,70,5,54,5401,5418,5406,,0.75000000000000000000,TABLEWARE
179778,4728,52.00000000000000000000,6.00000000000000000000,0.31385000000000000000,1.25000000000000000000,62,5,54,5401,5416,5406,,0.00000000000000000000,TABLEWARE
179779,4728,0.00000000000000000000,61.00000000000000000000,0.31464000000000000000,1.25000000000000000000,62,5,54,5401,5416,5406,,0.00000000000000000000,TABLEWARE
179780,4728,12.00000000000000000000,46.00000000000000000000,0.31630000000000000000,1.25000000000000000000,62,5,54,5401,5416,5406,,0.00000000000000000000,TABLEWARE
179781,4728,18.00000000000000000000,53.00000000000000000000,0.31348000000000000000,1.25000000000000000000,62,5,54,5401,5416,5406,,0.00000000000000000000,TABLEWARE
186286,4728,38.00000000000000000000,70.00000000000000000000,0.75138000000000000000,1.75000000000000000000,62,5,54,5401,5418,5406,,0.00000000000000000000,TABLEWARE
186288,4728,19.00000000000000000000,122.00000000000000000000,0.76393000000000000000,1.75000000000000000000,62,5,54,5401,5418,5406,,0.00000000000000000000,TABLEWARE
186289,4728,12.00000000000000000000,114.00000000000000000000,0.75986000000000000000,1.75000000000000000000,62,5,54,5401,5418,5406,,0.00000000000000000000,TABLEWARE
186292,4728,113.00000000000000000000,7.00000000000000000000,1.28905000000000000000,3.50000000000000000000,62,5,54,5401,5417,5406,,0.00000000000000000000,TABLEWARE
186987,4728,37.00000000000000000000,110.00000000000000000000,0.72393000000000000000,2.25000000000000000000,62,5,54,5403,5448,5416,,0.00000000000000000000,DO-IT-YOURSELF
186991,4728,40.00000000000000000000,152.00000000000000000000,0.73098000000000000000,2.25000000000000000000,62,5,54,5403,5448,5416,,0.00000000000000000000,DO-IT-YOURSELF
187258,4728,17.00000000000000000000,271.00000000000000000000,0.70328000000000000000,1.75000000000000000000,62,5,54,5407,5570,5450,,0.00000000000000000000,CASH DESK AREA
187436,4728,0.00000000000000000000,179.00000000000000000000,3.43000000000000000000,6.75000000000000000000,62,5,54,5406,5535,5440,,0.00000000000000000000,CLEANING-LAUNDRY
187442,4728,0.00000000000000000000,346.00000000000000000000,1.01250000000000000000,2.25000000000000000000,62,5,54,5406,5535,5440,,0.00000000000000000000,CLEANING-LAUNDRY
187460,4728,39.00000000000000000000,297.00000000000000000000,1.10119000000000000000,2.25000000000000000000,62,5,54,5406,5535,5440,,0.00000000000000000000,CLEANING-LAUNDRY
187465,4728,45.00000000000000000000,195.00000000000000000000,1.68500000000000000000,3.50000000000000000000,62,5,54,5406,5553,5444,,0.00000000000000000000,CLEANING-LAUNDRY
187841,4728,2.00000000000000000000,1.00000000000000000000,8.91333000000000000000,22.00000000000000000000,84,5,55,5502,5660,5520,,0.00000000000000000000,OUTDOORS
187884,4728,12.00000000000000000000,446.00000000000000000000,0.67815000000000000000,1.25000000000000000000,78,5,55,5502,5655,5518,,0.00000000000000000000,OUTDOORS
187885,4728,6.00000000000000000000,472.00000000000000000000,1.01875000000000000000,2.25000000000000000000,78,5,55,5502,5655,5518,,0.00000000000000000000,OUTDOORS
187888,4728,1.00000000000000000000,11.00000000000000000000,2.22250000000000000000,4.50000000000000000000,76,5,55,5502,5656,5518,,0.00000000000000000000,OUTDOORS
187891,4728,2.00000000000000000000,16.00000000000000000000,0.66500000000000000000,1.75000000000000000000,81,5,55,5502,5659,5520,,0.00000000000000000000,OUTDOORS
187902,4728,0.00000000000000000000,4.00000000000000000000,2.58000000000000000000,5.50000000000000000000,81,5,55,5502,5661,5522,,0.00000000000000000000,OUTDOORS
188211,4728,63.00000000000000000000,249.00000000000000000000,3.56455000000000000000,6.75000000000000000000,62,5,54,5406,5535,5440,,0.00000000000000000000,CLEANING-LAUNDRY
188253,4728,64.00000000000000000000,38.00000000000000000000,2.72848000000000000000,5.50000000000000000000,62,5,54,5401,5403,5402,,0.00000000000000000000,TABLEWARE
188254,4728,59.00000000000000000000,45.00000000000000000000,2.75380000000000000000,5.50000000000000000000,62,5,54,5401,5404,5402,,0.00000000000000000000,TABLEWARE
188255,4728,64.00000000000000000000,20.00000000000000000000,2.11571000000000000000,4.50000000000000000000,62,5,54,5401,5405,5402,,0.00000000000000000000,TABLEWARE
188256,4728,59.00000000000000000000,22.00000000000000000000,2.08651000000000000000,4.50000000000000000000,62,5,54,5401,5426,5410,,0.00000000000000000000,TABLEWARE
188258,4728,52.00000000000000000000,56.00000000000000000000,1.27224000000000000000,3.50000000000000000000,62,5,54,5401,5428,5410,,0.00000000000000000000,TABLEWARE
188259,4728,3.00000000000000000000,17.00000000000000000000,7.07900000000000000000,14.50000000000000000000,62,5,54,5401,5427,5410,,0.00000000000000000000,TABLEWARE
188301,4728,0.00000000000000000000,40.00000000000000000000,0.97250000000000000000,2.75000000000000000000,62,5,54,5401,5437,5412,,0.00000000000000000000,TABLEWARE
188334,4728,0.00000000000000000000,36.00000000000000000000,1.10333000000000000000,3.00000000000000000000,62,5,54,5404,5481,5422,,0.00000000000000000000,KITCHEN
188335,4728,22.00000000000000000000,50.00000000000000000000,0.75019000000000000000,1.75000000000000000000,62,5,54,5404,5481,5422,,0.00000000000000000000,KITCHEN
188369,4728,18.00000000000000000000,139.00000000000000000000,1.90083000000000000000,4.50000000000000000000,62,5,54,5404,5459,5418,,0.00000000000000000000,KITCHEN
188635,4728,12.00000000000000000000,273.00000000000000000000,0.87000000000000000000,2.25000000000000000000,62,5,54,5405,5510,5430,,0.00000000000000000000,DECORATION
188718,4728,0.00000000000000000000,36.00000000000000000000,1.85500000000000000000,4.50000000000000000000,62,5,54,5405,5498,5428,,2.25000000000000000000,DECORATION
188747,4728,830.00000000000000000000,194.00000000000000000000,0.62129000000000000000,1.25000000000000000000,62,5,54,5405,5833,5432,,0.00000000000000000000,DECORATION
188808,4728,1.00000000000000000000,53.00000000000000000000,1.46000000000000000000,3.50000000000000000000,62,5,54,5405,5526,5438,,0.00000000000000000000,DECORATION
188809,4728,20.00000000000000000000,64.00000000000000000000,1.43190000000000000000,3.50000000000000000000,62,5,54,5405,5526,5438,,0.00000000000000000000,DECORATION
189630,4728,1263.00000000000000000000,3840.00000000000000000000,0.90034000000000000000,2.25000000000000000000,62,6,63,6370,6390,6370,,0.00000000000000000000,SECOND-HAND
189643,4728,199.00000000000000000000,1029.00000000000000000000,0.89607000000000000000,2.25000000000000000000,62,6,63,6370,6390,6370,,0.00000000000000000000,SECOND-HAND
189647,4728,538.00000000000000000000,2277.00000000000000000000,0.86637000000000000000,2.25000000000000000000,62,6,63,6370,6390,6370,,0.00000000000000000000,SECOND-HAND
189648,4728,0.00000000000000000000,1.00000000000000000000,0.84000000000000000000,2.75000000000000000000,62,6,63,6370,6390,6370,,0.00000000000000000000,SECOND-HAND
190025,4728,183.00000000000000000000,184.00000000000000000000,1.10749000000000000000,3.00000000000000000000,62,5,54,5401,5409,5404,,0.00000000000000000000,TABLEWARE
190026,4728,16.00000000000000000000,279.00000000000000000000,1.12623000000000000000,3.00000000000000000000,62,5,54,5401,5410,5404,,0.00000000000000000000,TABLEWARE
190027,4728,61.00000000000000000000,279.00000000000000000000,1.10280000000000000000,3.00000000000000000000,62,5,54,5401,5411,5404,,0.00000000000000000000,TABLEWARE
190028,4728,229.00000000000000000000,124.00000000000000000000,1.16158000000000000000,3.00000000000000000000,62,5,54,5401,5408,5404,,0.00000000000000000000,TABLEWARE
190733,4728,0.00000000000000000000,107.00000000000000000000,1.56000000000000000000,3.50000000000000000000,62,5,54,5404,5472,5420,,1.75000000000000000000,KITCHEN
190782,4728,0.00000000000000000000,83.00000000000000000000,0.66333000000000000000,1.25000000000000000000,62,5,54,5407,5570,5450,,0.00000000000000000000,CASH DESK AREA
190846,4728,661.00000000000000000000,200.00000000000000000000,0.50254000000000000000,1.25000000000000000000,62,5,54,5405,5514,5432,,0.00000000000000000000,DECORATION
193172,4728,32.00000000000000000000,39.00000000000000000000,3.16059000000000000000,6.75000000000000000000,62,5,54,5406,5530,5440,,0.00000000000000000000,CLEANING-LAUNDRY
193969,4728,0.00000000000000000000,6.00000000000000000000,9.53500000000000000000,22.00000000000000000000,62,5,56,5600,5719,5600,,0.00000000000000000000,HOUSEHOLD LINEN FURNISHINGS
193972,4728,11.00000000000000000000,13.00000000000000000000,9.92585000000000000000,22.00000000000000000000,62,5,56,5600,5719,5600,,0.00000000000000000000,HOUSEHOLD LINEN FURNISHINGS
193974,4728,9.00000000000000000000,3.00000000000000000000,9.77524000000000000000,22.00000000000000000000,62,5,56,5600,5719,5600,,0.00000000000000000000,HOUSEHOLD LINEN FURNISHINGS
194069,4728,19.00000000000000000000,125.00000000000000000000,0.79614000000000000000,2.25000000000000000000,62,5,54,5404,5496,5426,,0.00000000000000000000,KITCHEN
195012,4728,30.00000000000000000000,162.00000000000000000000,0.95839000000000000000,2.25000000000000000000,62,5,54,5405,5521,5434,,0.00000000000000000000,DECORATION
195028,4728,0.00000000000000000000,97.00000000000000000000,5.38500000000000000000,9.00000000000000000000,79,5,55,5506,5704,5550,,0.00000000000000000000,CHRISTMAS TOYS
